MS.SubClass,MS.Zoning,Lot.Frontage,Lot.Area,Lot.Shape,Land.Contour,Lot.Config,Land.Slope,Neighborhood,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Roof.Style,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,BsmtFin.Type.2,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Gr.Liv.Area,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Garage.Type,Garage.Finish,Garage.Cars,Garage.Area,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Fence,Misc.Val,Mo.Sold,Yr.Sold,Sale.Type,Sale.Condition,SalePrice,Condition,HasShed,HasAlley,Exterior,Garage_Quality,Exterior_Quality,Garage.Age,Remod.Age,House.Age
60,RL,75.0,10000.0,IR1,Lvl,Corner,Gtl,Gilbert,1Fam,2Story,6,5,Gable,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,763.0,763.0,Gd,Y,SBrkr,763.0,892.0,0.0,1655.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,1.0,Attchd,Fin,2.0,440.0,Y,157.0,84.0,0.0,0.0,0.0,0.0,NoFence,0.0,4.0,2010.0,GroupedWD,Normal,5.245265839457462,Norm,False,False,HdBoard,TA_TA,TA_TA,17.0,16.0,17.0
20,RL,68.0,7980.0,IR1,Lvl,Inside,Gtl,Gilbert,1Fam,1Story,6,7,Gable,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,Ex,Y,SBrkr,1187.0,0.0,0.0,1187.0,1.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,Attchd,Fin,2.0,420.0,Y,483.0,21.0,0.0,0.0,0.0,0.0,GdPrv,500.0,3.0,2010.0,GroupedWD,Normal,5.267171728403014,Norm,True,False,HdBoard,TA_TA,TA_Gd,18.0,3.0,18.0
60,RL,63.0,8402.0,IR1,Lvl,Inside,Gtl,Gilbert,1Fam,2Story,6,5,Gable,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,789.0,789.0,Gd,Y,SBrkr,789.0,676.0,0.0,1465.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,1.0,Attchd,Fin,2.0,393.0,Y,0.0,75.0,0.0,0.0,0.0,0.0,NoFence,0.0,5.0,2010.0,GroupedWD,Normal,5.256236533205923,Norm,False,False,VinylSd,TA_TA,TA_TA,12.0,12.0,12.0
20,RL,85.0,10176.0,Reg,Lvl,Inside,Gtl,Gilbert,1Fam,1Story,7,5,Gable,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,Gd,Y,SBrkr,1341.0,0.0,0.0,1341.0,1.0,0.0,1.0,1.0,2.0,1.0,Gd,5.0,Typ,1.0,Attchd,Unf,2.0,506.0,Y,192.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,2.0,2010.0,GroupedWD,Normal,5.2342641243787895,Norm,False,False,HdBoard,TA_TA,TA_TA,20.0,20.0,20.0
120,RL,68.0,6820.0,IR1,Lvl,Corner,Gtl,StoneBr,TwnhsE,1Story,8,5,Gable,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,368.0,BLQ,1120.0,0.0,1488.0,TA,Y,SBrkr,1502.0,0.0,0.0,1502.0,1.0,0.0,1.0,1.0,1.0,1.0,Gd,4.0,Typ,0.0,Attchd,RFn,2.0,528.0,Y,0.0,54.0,0.0,0.0,140.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,5.326335860928752,Norm,False,False,HdBoard,TA_TA,Gd_TA,25.0,25.0,25.0
60,RL,47.0,53504.0,IR2,HLS,CulDSac,Mod,StoneBr,1Fam,2Story,8,5,Hip,BrkFace,603.0,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,Ex,Y,SBrkr,1690.0,1589.0,0.0,3279.0,1.0,0.0,3.0,1.0,4.0,1.0,Ex,12.0,Mod,1.0,BuiltIn,Fin,3.0,841.0,Y,503.0,36.0,0.0,0.0,210.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,5.730782275666389,Norm,False,False,CemntBd,TA_TA,Ex_TA,7.0,7.0,7.0
50,RL,152.0,12134.0,IR1,Bnk,Inside,Mod,Gilbert,1Fam,1.5Fin,8,7,Gable,None,0.0,Gd,TA,Other,Gd,TA,Av,GLQ,427.0,Unf,0.0,132.0,559.0,Gd,Y,SBrkr,1080.0,672.0,0.0,1752.0,0.0,0.0,2.0,0.0,4.0,1.0,TA,8.0,Typ,0.0,Basment,RFn,2.0,492.0,Y,325.0,12.0,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,5.214843848047698,Norm,False,False,Wd Sdng,TA_TA,Gd_TA,22.0,5.0,22.0
20,RL,88.0,11394.0,Reg,Lvl,Corner,Gtl,StoneBr,1Fam,1Story,9,2,Hip,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,Ex,Y,SBrkr,1856.0,0.0,0.0,1856.0,1.0,0.0,1.0,1.0,1.0,1.0,Ex,8.0,Typ,1.0,Attchd,Fin,3.0,834.0,Y,113.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,New,Partial,5.5959721417145625,Norm,False,False,VinylSd,TA_TA,Gd_TA,0.0,0.0,0.0
20,RL,140.0,19138.0,Reg,Lvl,Corner,Gtl,Gilbert,1Fam,1Story,4,5,Gable,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120.0,Unf,0.0,744.0,864.0,Ex,Y,SBrkr,864.0,0.0,0.0,864.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,Detchd,Unf,2.0,400.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,5.14921911265538,Norm,False,False,VinylSd,TA_TA,TA_TA,59.0,59.0,59.0
20,RL,85.0,13175.0,Reg,Lvl,Inside,Gtl,NWAmes,1Fam,1Story,6,6,Gable,Stone,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,790.0,Rec,163.0,589.0,1542.0,TA,Y,SBrkr,2073.0,0.0,0.0,2073.0,1.0,0.0,2.0,0.0,3.0,1.0,TA,7.0,Min1,2.0,Attchd,Unf,2.0,500.0,Y,349.0,0.0,0.0,0.0,0.0,0.0,MnPrv,0.0,2.0,2010.0,GroupedWD,Normal,5.3222192947339195,Norm,False,False,Plywood,TA_TA,TA_TA,32.0,22.0,32.0
20,RL,105.0,11751.0,IR1,Lvl,Inside,Gtl,NWAmes,1Fam,1Story,6,6,Hip,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,Ex,Y,SBrkr,1844.0,0.0,0.0,1844.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,7.0,Typ,1.0,Attchd,RFn,2.0,546.0,Y,0.0,122.0,0.0,0.0,0.0,0.0,MnPrv,0.0,1.0,2010.0,Other,Normal,5.278753600952829,Norm,False,False,Plywood,TA_TA,TA_TA,33.0,33.0,33.0
85,RL,85.0,10625.0,Reg,Lvl,Inside,Gtl,NWAmes,1Fam,SFoyer,7,6,Gable,BrkFace,81.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,TA,Y,SBrkr,1173.0,0.0,0.0,1173.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,6.0,Typ,2.0,Attchd,RFn,2.0,528.0,Y,0.0,120.0,0.0,0.0,0.0,0.0,MnPrv,0.0,1.0,2010.0,GroupedWD,Family,5.230448921378274,Norm,False,False,Plywood,TA_TA,TA_TA,36.0,36.0,36.0
60,FV,68.0,7500.0,Reg,Lvl,Inside,Gtl,Somerst,1Fam,2Story,7,5,Gable,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,533.0,Unf,0.0,281.0,814.0,Ex,Y,SBrkr,814.0,860.0,0.0,1674.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,0.0,Attchd,RFn,2.0,663.0,Y,0.0,96.0,0.0,0.0,0.0,0.0,NoFence,0.0,1.0,2010.0,GroupedWD,Normal,5.334453751150931,Norm,False,False,VinylSd,TA_TA,Gd_TA,10.0,10.0,10.0
20,RL,68.0,11241.0,IR1,Lvl,CulDSac,Gtl,NAmes,1Fam,1Story,6,7,Gable,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,Ex,Y,SBrkr,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,1.0,Attchd,Fin,2.0,480.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,NoFence,700.0,3.0,2010.0,GroupedWD,Normal,5.173186268412274,Norm,True,False,Wd Sdng,TA_TA,TA_TA,40.0,40.0,40.0
20,RL,68.0,12537.0,IR1,Lvl,CulDSac,Gtl,NAmes,1Fam,1Story,5,6,Gable,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,734.0,Unf,0.0,344.0,1078.0,Ex,Y,SBrkr,1078.0,0.0,0.0,1078.0,1.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,1.0,Attchd,Fin,2.0,500.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,4.0,2010.0,GroupedWD,Normal,5.175801632848279,Norm,False,False,VinylSd,TA_TA,TA_TA,39.0,2.0,39.0
20,RL,65.0,8450.0,Reg,Lvl,Inside,Gtl,NAmes,1Fam,1Story,5,6,Gable,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775.0,Unf,0.0,281.0,1056.0,Ex,Y,SBrkr,1056.0,0.0,0.0,1056.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,Attchd,Unf,1.0,304.0,Y,0.0,85.0,184.0,0.0,0.0,0.0,NoFence,0.0,7.0,2010.0,GroupedWD,Normal,5.152288344383057,Norm,False,False,VinylSd,TA_TA,TA_TA,42.0,42.0,42.0
20,RL,70.0,8400.0,Reg,Lvl,Corner,Gtl,NAmes,1Fam,1Story,4,5,Gable,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,TA,Y,SBrkr,882.0,0.0,0.0,882.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,Attchd,Fin,2.0,525.0,Y,240.0,0.0,0.0,0.0,0.0,0.0,MnPrv,0.0,4.0,2010.0,GroupedWD,Normal,5.1003705451175625,Norm,False,False,Plywood,TA_TA,TA_TA,40.0,40.0,40.0
120,RH,26.0,5858.0,IR1,Lvl,FR2,Gtl,NAmes,TwnhsE,1Story,7,5,Gable,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,Ex,Y,SBrkr,1337.0,0.0,0.0,1337.0,1.0,0.0,2.0,0.0,2.0,1.0,Gd,5.0,Typ,1.0,Attchd,Fin,2.0,511.0,Y,203.0,68.0,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,5.264817823009537,Norm,False,False,MetalSd,TA_TA,Gd_TA,11.0,11.0,11.0
160,RM,21.0,1680.0,Reg,Lvl,Inside,Gtl,BrDale,Twnhs,2Story,6,5,Gable,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,TA,Y,SBrkr,483.0,504.0,0.0,987.0,0.0,0.0,1.0,1.0,2.0,1.0,TA,5.0,Typ,0.0,Detchd,Unf,1.0,264.0,Y,275.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,2.0,2010.0,Other,Normal,4.982271233039568,Norm,False,False,HdBoard,TA_TA,TA_TA,39.0,39.0,39.0
160,RM,21.0,1680.0,Reg,Lvl,Inside,Gtl,BrDale,Twnhs,2Story,5,5,Gable,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,TA,Y,SBrkr,525.0,567.0,0.0,1092.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,0.0,Detchd,Unf,1.0,320.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,3.0,2010.0,GroupedWD,Normal,5.023252459633712,Norm,False,False,HdBoard,TA_TA,TA_TA,13.0,39.0,39.0
160,RM,21.0,1680.0,Reg,Lvl,Inside,Gtl,BrDale,Twnhs,2Story,6,5,Gable,BrkFace,381.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,525.0,525.0,TA,Y,SBrkr,525.0,567.0,0.0,1092.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,0.0,Detchd,Unf,1.0,264.0,Y,0.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,3.0,2010.0,GroupedWD,Family,4.944482672150168,Norm,False,False,HdBoard,TA_TA,TA_TA,39.0,39.0,39.0
120,RL,53.0,4043.0,Reg,Lvl,Inside,Gtl,NPkVill,TwnhsE,1Story,6,5,Gable,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,360.0,Unf,0.0,709.0,1069.0,TA,Y,SBrkr,1069.0,0.0,0.0,1069.0,0.0,0.0,2.0,0.0,2.0,1.0,TA,4.0,Typ,1.0,Attchd,RFn,2.0,440.0,Y,0.0,55.0,0.0,0.0,165.0,0.0,NoFence,0.0,7.0,2010.0,GroupedWD,Normal,5.105510184769974,Norm,False,False,Plywood,TA_TA,TA_TA,33.0,33.0,33.0
160,RL,24.0,2280.0,Reg,Lvl,FR2,Gtl,NPkVill,Twnhs,2Story,6,6,Gable,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,TA,Y,SBrkr,855.0,601.0,0.0,1456.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,6.0,Typ,1.0,Attchd,Unf,2.0,440.0,Y,173.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,5.175801632848279,Norm,False,False,Plywood,TA_TA,TA_TA,35.0,35.0,35.0
120,RL,24.0,2280.0,Reg,Lvl,FR2,Gtl,NPkVill,Twnhs,1Story,7,6,Gable,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,Ex,Y,SBrkr,836.0,0.0,0.0,836.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,Attchd,Unf,1.0,308.0,Y,0.0,30.0,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,5.079181246047625,Norm,False,False,Plywood,TA_TA,TA_TA,35.0,35.0,35.0
160,RL,24.0,2280.0,Reg,Lvl,Inside,Gtl,NPkVill,Twnhs,2Story,6,5,Gable,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,311.0,Unf,0.0,544.0,855.0,Fa,Y,SBrkr,855.0,601.0,0.0,1456.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,1.0,Attchd,Unf,2.0,440.0,Y,26.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,7.0,2010.0,GroupedWD,Normal,5.164352855784437,Norm,False,False,Plywood,TA_TA,TA_TA,32.0,32.0,32.0
60,RL,102.0,12858.0,IR1,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,9,5,Gable,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,Ex,Y,SBrkr,1627.0,707.0,0.0,2334.0,0.0,0.0,2.0,1.0,3.0,1.0,Ex,10.0,Typ,1.0,Attchd,Fin,3.0,751.0,Y,144.0,133.0,0.0,0.0,0.0,0.0,NoFence,0.0,1.0,2010.0,New,Partial,5.575374920869163,Norm,False,False,VinylSd,TA_TA,Ex_TA,1.0,0.0,1.0
20,RL,98.0,11478.0,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,1Story,8,5,Gable,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,Ex,Y,SBrkr,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Attchd,RFn,3.0,772.0,Y,0.0,50.0,0.0,0.0,0.0,0.0,NoFence,0.0,5.0,2010.0,GroupedWD,Normal,5.48572142648158,Norm,False,False,VinylSd,TA_TA,Gd_TA,2.0,2.0,3.0
20,RL,83.0,10159.0,IR1,Lvl,Inside,Gtl,NridgHt,1Fam,1Story,9,5,Hip,Stone,450.0,Ex,TA,PConc,Ex,TA,Av,GLQ,1646.0,Unf,0.0,284.0,1930.0,Ex,Y,SBrkr,1940.0,0.0,0.0,1940.0,1.0,0.0,2.0,1.0,3.0,1.0,Ex,8.0,Typ,1.0,Attchd,Fin,3.0,606.0,Y,168.0,95.0,0.0,0.0,0.0,0.0,NoFence,0.0,4.0,2010.0,New,Partial,5.596808144440335,Norm,False,False,VinylSd,TA_TA,Ex_TA,0.0,0.0,1.0
20,RL,94.0,12883.0,IR1,Lvl,Corner,Gtl,NridgHt,1Fam,1Story,8,5,Gable,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1544.0,1544.0,Ex,Y,SBrkr,1544.0,0.0,0.0,1544.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,0.0,Attchd,RFn,3.0,868.0,Y,0.0,35.0,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,New,Partial,5.463804927225282,Norm,False,False,VinylSd,TA_TA,Gd_TA,1.0,0.0,1.0
20,RL,95.0,12182.0,Reg,Lvl,Corner,Gtl,NridgHt,1Fam,1Story,7,5,Gable,BrkFace,226.0,Gd,TA,PConc,Gd,TA,Mn,BLQ,1201.0,Unf,0.0,340.0,1541.0,Ex,Y,SBrkr,1541.0,0.0,0.0,1541.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Attchd,RFn,2.0,532.0,Y,0.0,70.0,0.0,0.0,0.0,0.0,NoFence,0.0,5.0,2010.0,New,Partial,5.342422680822207,Norm,False,False,VinylSd,TA_TA,Gd_TA,5.0,5.0,5.0
20,RL,90.0,11520.0,Reg,Lvl,Inside,Gtl,NridgHt,1Fam,1Story,9,5,Hip,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,Ex,Y,SBrkr,1698.0,0.0,0.0,1698.0,0.0,0.0,2.0,0.0,3.0,1.0,Ex,7.0,Typ,1.0,Attchd,Fin,3.0,730.0,Y,192.0,74.0,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,5.439332693830263,Positive,False,False,VinylSd,TA_TA,Gd_TA,5.0,5.0,5.0
20,RL,79.0,14122.0,IR1,Lvl,Inside,Gtl,NridgHt,1Fam,1Story,8,5,Hip,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,0.0,1794.0,1822.0,Ex,Y,SBrkr,1822.0,0.0,0.0,1822.0,0.0,0.0,2.0,0.0,3.0,1.0,Ex,8.0,Typ,1.0,Attchd,RFn,3.0,678.0,Y,0.0,119.0,0.0,0.0,0.0,0.0,NoFence,0.0,2.0,2010.0,GroupedWD,Normal,5.413299764081252,Norm,False,False,CemntBd,TA_TA,Gd_TA,5.0,4.0,5.0
